"No.","Time","Source","Destination","Protocol","Length","Info"
"46","5.999472","","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","10","Acknowledgement, Flags=........"
"47","5.999472","","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","10","Acknowledgement, Flags=........"
"48","5.999465","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"49","5.999465","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"50","6.028140","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"51","6.330280","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"52","6.766488","","3e:39:40:0b:1b:2d (3e:39:40:0b:1b:2d) (RA)","802.11","10","Acknowledgement, Flags=........"
"53","6.998461","fa:d8:66:5d:ab:75","BbkEduca_00:60:2d","802.11","200","Probe Response, SN=460, FN=0, Flags=........, BI=100, SSID=THE GREATEST "
"54","6.998426","","fa:d8:66:5d:ab:75 (fa:d8:66:5d:ab:75) (RA)","802.11","10","Acknowledgement, Flags=........"
"55","7.232452","","be:ff:eb:f9:ad:96 (be:ff:eb:f9:ad:96) (RA)","802.11","10","Acknowledgement, Flags=........"
"56","7.634408","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"57","7.637479","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (TA)","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","16","Request-to-send, Flags=........"
"58","7.637488","","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","10","Clear-to-send, Flags=........"
"59","7.637489","AzureWav_67:70:77 (80:91:33:67:70:77) (TA)","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","28","802.11 Block Ack, Flags=........"
"60","7.637480","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"61","7.637479","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"62","7.652329","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"63","8.249386","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"64","8.249387","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (TA)","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","16","Request-to-send, Flags=........"
"65","8.249395","","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","10","Clear-to-send, Flags=........"
"66","8.249393","AzureWav_67:70:77 (80:91:33:67:70:77) (TA)","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","28","802.11 Block Ack, Flags=........"
"67","8.252458","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"68","8.273411","","f2:da:f1:4a:18:3d (f2:da:f1:4a:18:3d) (RA)","802.11","10","Acknowledgement, Flags=........"
"69","8.440330","","SamsungE_3b:ba:d2 (bc:d1:1f:3b:ba:d2) (RA)","802.11","10","Acknowledgement, Flags=........"
"70","8.753194","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"71","8.756267","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"72","8.756266","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (TA)","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","28","802.11 Block Ack, Flags=........"
"73","8.762923","","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","10","Clear-to-send, Flags=........"
"74","8.782378","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"75","8.785962","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (BSSID)","Broadcast (ff:ff:ff:ff:ff:ff) (RA)","802.11","16","CF-End (Control-frame), Flags=........"
"76","8.785961","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (TA)","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","16","Request-to-send, Flags=........"
"77","8.785961","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (TA)","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","16","Request-to-send, Flags=........"
"78","9.068584","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"79","9.378930","","AzureWav_3a:ab:79 (70:66:55:3a:ab:79) (RA)","802.11","10","Acknowledgement, Flags=........"
"80","9.477228","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"81","9.480812","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (TA)","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","16","Request-to-send, Flags=........"
"82","9.480818","","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","10","Clear-to-send, Flags=........"
"83","9.487980","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (TA)","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","16","Request-to-send, Flags=........"
"84","9.487988","","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","10","Clear-to-send, Flags=........"
"85","9.491563","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"86","9.491564","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (TA)","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","16","Request-to-send, Flags=........"
"87","9.491562","","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","10","Acknowledgement, Flags=........"
"88","9.491562","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (TA)","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","16","Request-to-send, Flags=........"
"89","9.491571","","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","10","Clear-to-send, Flags=........"
"90","9.494130","AzureWav_67:70:77 (80:91:33:67:70:77) (TA)","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (RA)","802.11","28","802.11 Block Ack, Flags=........"
"91","9.494122","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (TA)","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","28","802.11 Block Ack, Flags=........"
"92","9.498218","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (TA)","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","28","802.11 Block Ack, Flags=........"
"93","9.498218","82:f2:1d:7a:22:fa (82:f2:1d:7a:22:fa) (TA)","AzureWav_67:70:77 (80:91:33:67:70:77) (RA)","802.11","28","802.11 Block Ack, Flags=........"
